"twdemocr","f_party_","f_agecat","f_gender","f_educca","f_racecm","f_inc_sd","f_reg","f_ideo"
"1","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","30-49","A man","College graduate+","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Republican","50-64","A man","Some College","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Democrat","50-64","A woman","College graduate+","White","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","30-49","A woman","H.S. graduate or less","Black or African-American","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Independent","65+","A man","Some College","White","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","65+","A man","College graduate+","White","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Independent","18-29","A man","College graduate+","White","$30,000 to less than $40,000","You are NOT registered to vote at your current address","Moderate"
"1","Independent","65+","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Independent","30-49","A man","College graduate+","White","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Democrat","50-64","A woman","College graduate+","White","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Independent","65+","A woman","College graduate+","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Republican","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","18-29","A woman","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Independent","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","65+","A man","College graduate+","Mixed Race","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","50-64","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Democrat","65+","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","65+","A man","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Democrat","30-49","A man","Some College","White","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","50-64","A woman","Some College","Black or African-American","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","30-49","A woman","College graduate+","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","30-49","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","65+","A woman","Some College","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Independent","50-64","A man","Some College","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Democrat","50-64","A woman","College graduate+","White","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Republican","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Independent","65+","A man","Some College","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","50-64","A man","College graduate+","White","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","50-64","A man","College graduate+","White","$90,000 to less than $100,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","50-64","A man","Some College","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Republican","50-64","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very conservative"
"0","Republican","50-64","A man","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very conservative"
"0","Democrat","30-49","A woman","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","30-49","A man","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Republican","65+","A man","Some College","Mixed Race","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very conservative"
"0","Republican","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Democrat","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Democrat","50-64","A woman","College graduate+","White","$40,000 to less than $50,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","65+","A man","H.S. graduate or less","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","50-64","A man","College graduate+","White","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","30-49","A man","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A man","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","Black or African-American","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Republican","50-64","A man","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","30-49","A man","College graduate+","White","$40,000 to less than $50,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","Some College","White","$40,000 to less than $50,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Republican","30-49","A man","Some College","White","$40,000 to less than $50,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very conservative"
"0","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Republican","50-64","A man","Some College","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","18-29","A man","College graduate+","Black or African-American","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A man","Some College","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Republican","30-49","A man","Some College","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Independent","30-49","A man","H.S. graduate or less","White","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Republican","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","30-49","A woman","Some College","Black or African-American","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","White","$90,000 to less than $100,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","Asian or Asian-American","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Republican","65+","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","30-49","A man","Some College","Mixed Race","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","18-29","A man","College graduate+","White","$40,000 to less than $50,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","50-64","A woman","College graduate+","Asian or Asian-American","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","50-64","A man","College graduate+","Asian or Asian-American","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Independent","30-49","A man","College graduate+","White","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Democrat","30-49","A woman","Some College","Black or African-American","Less than $30,000","You are NOT registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Independent","30-49","A man","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","18-29","A woman","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","18-29","A woman","College graduate+","Black or African-American","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Independent","50-64","A man","Some College","Mixed Race","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Democrat","65+","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A woman","College graduate+","White","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Independent","30-49","A man","College graduate+","Mixed Race","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","50-64","A man","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","65+","A woman","College graduate+","White","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Independent","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","65+","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Republican","30-49","A man","H.S. graduate or less","White","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","18-29","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Independent","30-49","A man","Some College","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","50-64","A man","Some College","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","30-49","A man","Some College","Black or African-American","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","30-49","A man","College graduate+","Asian or Asian-American","$50,000 to less than $60,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","65+","A man","College graduate+","White","$90,000 to less than $100,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Independent","30-49","A man","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","30-49","A man","Some College","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","18-29","A man","College graduate+","White","$30,000 to less than $40,000","You are NOT registered to vote at your current address","Very conservative"
"1","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Independent","50-64","A man","H.S. graduate or less","White","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","30-49","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","50-64","A woman","College graduate+","Black or African-American","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","18-29","A man","H.S. graduate or less","Black or African-American","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very conservative"
"1","Democrat","18-29","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Democrat","30-49","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Independent","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Republican","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Independent","18-29","A man","College graduate+","White","Less than $30,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Democrat","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Independent","18-29","A man","College graduate+","White","$40,000 to less than $50,000","You are NOT registered to vote at your current address","Liberal"
"0","Democrat","50-64","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Republican","50-64","A woman","Some College","Mixed Race","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"0","Independent","30-49","A man","College graduate+","White","$90,000 to less than $100,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"1","Democrat","30-49","A man","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Independent","50-64","A woman","College graduate+","White","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","30-49","A man","College graduate+","White","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Independent","30-49","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Independent","50-64","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"1","Democrat","18-29","A woman","College graduate+","White","$80,000 to less than $90,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"0","Democrat","30-49","A man","College graduate+","Mixed Race","$100,000 or more","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","18-29","A woman","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Very liberal"
"1","Republican","30-49","A man","Some College","White","$90,000 to less than $100,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
"0","Democrat","65+","A woman","College graduate+","White","$30,000 to less than $40,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Liberal"
"0","Republican","30-49","A man","College graduate+","White","$70,000 to less than $80,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Conservative"
"1","Republican","30-49","A man","College graduate+","White","$100,000 or more","You are PROBABLY registered, but there is a chance your registration has lapsed","Very conservative"
"0","Democrat","50-64","A man","College graduate+","White","$60,000 to less than $70,000","You are ABSOLUTELY CERTAIN that you are registered to vote at your current address","Moderate"
